MovieName,IMDB
A Cure for Wellness,http://www.imdb.com/title/tt4731136/
A Dark Song,www.imdb.com/title/tt4805316/
A Ghost Story,www.imdb.com/title/tt6265828/
A Journey Through French Cinema,www.imdb.com/title/tt5652594/
A Monster Calls,www.imdb.com/title/tt3416532/
Afterimage,http://www.imdb.com/title/tt5186236/
Alien: Covenant,www.imdb.com/title/tt2316204/
American Made,http://www.imdb.com/title/tt3532216/
Anna and the Apocalypse,www.imdb.com/title/tt6433880/
Baby Driver,www.imdb.com/title/tt3890160/
Beatriz at Dinner,www.imdb.com/title/tt5929750/
Beauty and the Beast,www.imdb.com/title/tt2771200/
Blade Runner 2049,http://www.imdb.com/title/tt1856101/
BPM (Beats Per Minute),www.imdb.com/title/tt6135348/
Brad's Status,www.imdb.com/title/tt5884230/
Brawl in Cell Block 99,www.imdb.com/title/tt5657856/
Bright,www.imdb.com/title/tt5519340/
Call Me by Your Name,www.imdb.com/title/tt5726616/
Coco,http://www.imdb.com/title/tt2380307/
Colossal,www.imdb.com/title/tt4680182/
Columbus,www.imdb.com/title/tt5990474/
Creep 2,http://www.imdb.com/title/tt3654796/
Darkest Hour,www.imdb.com/title/tt4555426/
Dawson City: Frozen Time,www.imdb.com/title/tt5215486/
Detroit,www.imdb.com/title/tt5390504/
Downsizing,www.imdb.com/title/tt1389072/
Dunkirk,www.imdb.com/title/tt5013056/
Ex Libris: The New York Public Library,http://www.imdb.com/title/tt6209282/
Faces Places,www.imdb.com/title/tt5598102/
Fences,www.imdb.com/title/tt2671706/
Foxtrot,www.imdb.com/title/tt6896536/
Gemini,www.imdb.com/title/tt5795086/
Get Out,www.imdb.com/title/tt5052448/
Girls Trip,www.imdb.com/title/tt3564472/
Good Time,www.imdb.com/title/tt4846232/
Graduation,www.imdb.com/title/tt4936450/
Guardians of the Galaxy Vol. 2,www.imdb.com/title/tt3896198/
Hacksaw Ridge,www.imdb.com/title/tt2119532/
Hidden Figures,www.imdb.com/title/tt4846340/
Hostiles,www.imdb.com/title/tt5478478/
I Am Not Your Negro,http://www.imdb.com/title/tt5804038/
I Don't Feel at Home in This World Anymore,www.imdb.com/title/tt5710514/
I Tonya,www.imdb.com/title/tt5580036/
It,http://www.imdb.com/title/tt1396484/
Jane,www.imdb.com/title/tt7207238/
John Wick: Chapter 2,www.imdb.com/title/tt4425200/
Justice League,www.imdb.com/title/tt0974015/
Kedi,www.imdb.com/title/tt4420704/
King Arthur: Legend of the Sword,http://www.imdb.com/title/tt1972591/
La La Land,http://www.imdb.com/title/tt3783958/
Lady Bird,www.imdb.com/title/tt4925292/
Logan,www.imdb.com/title/tt3315342/
Logan Lucky,www.imdb.com/title/tt5439796/
Lost in Paris,http://www.imdb.com/title/tt2936884/
Marshall,www.imdb.com/title/tt5301662/
Molly's Game,www.imdb.com/title/tt4209788/
Moonlight,http://www.imdb.com/title/tt4975722/
Mother!,www.imdb.com/title/tt5109784/
Mudbound,www.imdb.com/title/tt2396589/
My Life as a Zucchini,www.imdb.com/title/tt2321405/
Okja,www.imdb.com/title/tt3967856/
Paddington 2,http://www.imdb.com/title/tt4468740/
Personal Shopper,www.imdb.com/title/tt4714782/
Phantom Thread,www.imdb.com/title/tt5776858/
Princess Cyd,www.imdb.com/title/tt6053440/
Professor Marston and the Wonder Women,www.imdb.com/title/tt6133130/
Raw,www.imdb.com/title/tt4954522/
Spider-Man: Homecoming,http://www.imdb.com/title/tt2250912/
Split,http://www.imdb.com/title/tt4972582/
Star Wars: The Last Jedi,www.imdb.com/title/tt2527336/
T2 Trainspotting,http://www.imdb.com/title/tt2763304/
The Age of Shadows,www.imdb.com/title/tt4914580/
The Babysitter,www.imdb.com/title/tt4225622/
The Beguiled,www.imdb.com/title/tt5592248/
The Big Sick,http://www.imdb.com/title/tt5462602/
The Breadwinner,http://www.imdb.com/title/tt3901826/
The Death of Stalin,http://www.imdb.com/title/tt4686844/
The Disaster Artist,http://www.imdb.com/title/tt3521126/
The Distinguished Citizen,www.imdb.com/title/tt4562518/
The Florida Project,http://www.imdb.com/title/tt5649144/
The Girl with All the Gifts,http://www.imdb.com/title/tt4547056/
The Glass Castle,www.imdb.com/title/tt2378507/
The Handmaiden,www.imdb.com/title/tt4016934/
The Killing of a Sacred Deer,www.imdb.com/title/tt5715874/
The LEGO Batman Movie,www.imdb.com/title/tt4116284/
The Lost City of Z,www.imdb.com/title/tt1212428/
The Meyerowitz Stories (New and Selected),www.imdb.com/title/tt5536736/
The Post,http://www.imdb.com/title/tt6294822/
The Rider,www.imdb.com/title/tt6217608/
The Shape of Water,www.imdb.com/title/tt5580390/
The Square,www.imdb.com/title/tt4995790/
The Transfiguration,http://www.imdb.com/title/tt5039088/
Their Finest,www.imdb.com/title/tt1661275/
Thelma,http://www.imdb.com/title/tt6304046/
Thor: Ragnarok,www.imdb.com/title/tt3501632/
Three Billboards Outside Ebbing Missouri,www.imdb.com/title/tt5027774/
War for the Planet of the Apes,http://www.imdb.com/title/tt3450958/
Wind River,www.imdb.com/title/tt5362988/
Wonder,www.imdb.com/title/tt2543472/
Wonder Woman,www.imdb.com/title/tt0451279/
Your Name,www.imdb.com/title/tt5311514/
The Hitman's Bodyguard,http://www.imdb.com/title/tt1959563/
Jumanji: Welcome to the Jungle,http://www.imdb.com/title/tt2283362/
Kong: Skull Island,http://www.imdb.com/title/tt3731562/
Hey Arnold: The Jungle Movie,http://www.imdb.com/title/tt5257726/
Happy Death Day,http://www.imdb.com/title/tt5308322/
Ingrid Goes West,www.imdb.com/title/tt5962210/
