Ordered,10,9,8,7,6,5,4,3,2,1,url,shortname
yes,Spider-Man: Homecoming,The Big Sick,War for the Planet of the Apes,Coco,It,Thor: Ragnarok,Wonder Woman,Logan,Dunkirk,Get Out,indianexpress.com/article/entertainment/hollywood/top-10-hollywood-films-of-2017-thor-ragnarok-wonder-woman-and-dunkirk-on-the-list-4979499/,indianexpress
no,Get Out,The Shape of Water,Wonder Woman,Lady Bird,Girls Trip,Thor: Ragnarok,Blade Runner 2049,Baby Driver,Star Wars: The Last Jedi,The Post,https://www.wired.com/story/best-movies-of-2017/,wired
yes,The Post,Phantom Thread,The Florida Project,Mother!,Coco,The Shape of Water,Blade Runner 2049,Three Billboards Outside Ebbing Missouri,Dunkirk,Get Out,https://www.theatlantic.com/entertainment/archive/2017/12/the-10-best-movies-of-2017/548705/,theatlantic
yes,I Am Not Your Negro,Three Billboards Outside Ebbing Missouri,Get Out,Dunkirk,Mudbound,The Disaster Artist,The Big Sick,Lady Bird,Marshall,The Meyerowitz Stories (New and Selected),https://www.hollywoodreporter.com/news/kareem-abdul-jabbars-top-10-films-tv-shows-2017-1069840,hollywoodreporter
yes,Get Out,Wonder Woman,Baby Driver,Logan,Blade Runner 2049,It,Justice League,Coco,Thor: Ragnarok,Dunkirk,https://www.mensxp.com/entertainment/hollywood/41378-here-are-the-top-10-hollywood-movies-that-made-2017-one-of-the-coolest-years-to-live-in.html,mensxp
yes,Baby Driver,Hidden Figures,Star Wars: The Last Jedi,Wonder Woman,It,La La Land,Blade Runner 2049,Dunkirk,Moonlight,Get Out,metro.co.uk/2017/12/24/get-metro-co-uks-top-10-films-2017-7160272/,metro
yes,Okja,I Tonya,Molly's Game,Get Out,Logan,Call Me by Your Name,Lady Bird,Dunkirk,Three Billboards Outside Ebbing Missouri,Detroit,http://www.denofgeek.com/us/movies/best-movies-of-2017/266898/the-top-10-best-movies-of-2017,denofgeek
yes,The Post,Detroit,Call Me by Your Name,Graduation,The Big Sick,Hostiles,Logan,It,The Killing of a Sacred Deer,Three Billboards Outside Ebbing Missouri,http://www.denofgeek.com/us/movies/best-movies-of-2017/266898/the-top-10-best-movies-of-2017,denofgeek
yes,Gemini,The Beguiled,The Meyerowitz Stories (New and Selected),Lady Bird,The Square,Get Out,Good Time,The Florida Project,Phantom Thread,Dunkirk,https://www.salon.com/2017/12/16/top-10-movies-2017/,salon
yes,Phantom Thread,A Ghost Story,Detroit,The Shape of Water,Lady Bird,The Post,Three Billboards Outside Ebbing Missouri,Call Me by Your Name,Get Out,Dunkirk,https://www.rollingstone.com/movies/lists/10-best-movies-of-2017-w513108,rollingstone
yes,Beatriz at Dinner,A Ghost Story,Princess Cyd,Personal Shopper,Phantom Thread,Get Out,The Lost City of Z,Call Me by Your Name,Faces Places,BPM (Beats Per Minute),https://www.vanityfair.com/hollywood/2017/12/best-movies-of-2017-list,vanityfair
no,The Big Sick,Call Me by Your Name,Dunkirk,The Florida Project,Get Out,Lady Bird,The Post,The Shape of Water,Three Billboards Outside Ebbing Missouri,Wonder Woman,deadline.com/2017/12/2018-afi-movies-of-the-year-list-wonder-woman-get-out-1202222266/,deadline
yes,Blade Runner 2049,Raw,Thor: Ragnarok,The Shape of Water,Wonder Woman,Star Wars: The Last Jedi,Logan,Get Out,War for the Planet of the Apes,Your Name,https://io9.gizmodo.com/the-10-best-and-five-worst-movies-of-2017-1821264928,io9
