,rank,title
0,30.,Jumanji
1,29.,King Arthur: Legend of the Sword
2,28.,Baywatch
3,27.,Kingsman: The Golden Circle
4,26.,The Mummy
5,25.,Transformers: The Last Knight
6,24.,Untitled Cloverfield Anthology Movie (God Particle)
7,23.,Coco
8,22.,Beauty and the Beast
9,21.,Baby Driver
10,20.,Ghost in the Shell
11,19.,The Fate of the Furious
12,18.,The Dark Tower
13,17.,Life
14,16.,Valerian and the City of a Thousand Planets
15,15.,Kong: Skull Island
16,14.,Power Rangers
17,13.,Dunkirk
18,12.,Blade Runner 2049
19,11.,John Wick: Chapter 2
20,10.,War for the Planet of the Apes
21,9.,Alien: Covenant
22,8.,The LEGO Batman Movie
23,7.,Thor: Ragnarok
24,6.,Spider-Man: Homecoming
25,5.,Logan
26,4.,Wonder Woman
27,3.,Justice League
28,2.,Guardians of the Galaxy Vol.2
29,1.,Star Wars: Episode VIII
