,Movie,Ten,Nine,Eight,Seven,Six,Five,Four,Three,Two,One_,Rank Score
32,Get Out,1,4,5,2,3,5,2,2,4,10,243
51,Logan,0,0,1,1,4,3,7,3,5,4,203
26,Dunkirk,3,0,1,3,1,1,4,5,6,5,201
12,Blade Runner 2049,5,0,1,1,3,2,3,0,2,5,128
17,Call Me by Your Name,0,1,1,0,2,2,2,5,3,0,108
43,It,0,1,1,2,4,3,0,2,1,2,96
99,Wonder Woman,1,1,3,3,2,0,2,1,2,2,94
50,Lady Bird,0,0,0,2,1,1,2,3,3,1,94
95,Three Billboards Outside Ebbing Missouri,0,2,0,2,1,4,1,1,2,1,84
9,Baby Driver,2,0,4,4,0,0,0,2,0,2,66
96,War for the Planet of the Apes,0,5,1,0,1,3,0,1,2,0,62
77,The Disaster Artist,0,2,0,1,0,1,0,0,3,2,61
69,Star Wars: The Last Jedi,2,0,1,1,3,2,1,1,1,0,60
89,The Shape of Water,2,1,0,3,1,1,2,2,0,0,57
79,The Florida Project,0,0,1,0,2,2,2,2,0,0,55
87,The Post,4,0,1,0,0,1,0,3,0,1,47
18,Coco,0,0,0,2,1,0,1,2,0,1,46
94,Thor: Ragnarok,1,3,2,1,1,1,0,1,1,0,45
63,Phantom Thread,2,1,1,1,2,1,0,1,1,0,44
74,The Big Sick,0,2,2,2,1,0,3,0,0,0,44
57,Mother!,1,1,0,1,1,1,0,1,1,0,35
67,Spider-Man: Homecoming,1,1,1,0,0,1,2,1,0,0,34
36,Guardians of the Galaxy Vol. 2,0,0,1,2,1,2,0,0,0,0,28
84,The LEGO Batman Movie,0,1,0,0,0,0,0,2,1,0,27
11,Beauty and the Beast,0,1,0,0,0,0,1,1,1,0,26
97,Wind River,1,3,2,0,0,0,0,0,0,1,23
28,Faces Places,0,1,2,1,0,0,0,0,1,0,21
19,Colossal,1,0,0,0,0,0,0,1,1,0,18
46,Justice League,0,0,0,0,1,1,1,0,0,0,18
83,The Killing of a Sacred Deer,0,0,1,1,0,0,0,0,1,0,16
66,Raw,0,1,0,0,0,1,0,1,0,0,16
24,Detroit,0,1,1,0,0,0,0,0,0,1,15
52,Logan Lucky,1,0,0,1,0,0,0,0,0,1,15
85,The Lost City of Z,0,0,0,0,0,0,1,1,0,0,15
55,Molly's Game,0,0,2,0,0,0,0,0,1,0,15
81,The Glass Castle,0,0,0,1,0,0,0,0,0,1,14
100,Your Name,0,0,0,1,0,0,0,0,0,1,14
49,La La Land,0,0,0,0,0,1,1,0,0,0,13
86,The Meyerowitz Stories (New and Selected),0,0,1,0,0,0,0,0,0,1,13
42,I Tonya,0,2,3,0,0,0,0,0,0,0,13
34,Good Time,2,1,0,0,0,0,1,0,0,0,11
39,Hostiles,0,0,0,0,1,1,0,0,0,0,11
62,Personal Shopper,0,0,0,1,0,0,1,0,0,0,11
45,John Wick: Chapter 2,0,0,0,0,2,0,0,0,0,0,10
29,Fences,0,0,0,0,0,0,0,0,0,1,10
25,Downsizing,0,0,0,0,0,0,0,0,0,1,10
13,BPM (Beats Per Minute),0,0,0,0,0,0,0,0,0,1,10
88,The Rider,0,0,0,0,0,0,0,0,0,1,10
54,Marshall,0,0,0,0,0,0,0,0,1,0,9
56,Moonlight,0,0,0,0,0,0,0,0,1,0,9
82,The Handmaiden,0,0,0,0,0,0,0,0,1,0,9
35,Graduation,0,0,0,2,0,0,0,0,0,0,8
22,Darkest Hour,1,0,0,0,0,0,1,0,0,0,8
104,Hey Arnold: The Jungle Movie,0,0,0,0,0,0,0,1,0,0,8
90,The Square,0,0,1,0,1,0,0,0,0,0,8
68,Split,1,1,0,1,0,0,0,0,0,0,7
71,The Age of Shadows,0,0,0,0,0,0,1,0,0,0,7
106,Ingrid Goes West,0,0,0,0,0,0,1,0,0,0,7
2,A Ghost Story,0,2,1,0,0,0,0,0,0,0,7
3,A Journey Through French Cinema,0,0,0,0,0,0,1,0,0,0,7
91,The Transfiguration,0,0,0,0,0,0,1,0,0,0,7
15,Brawl in Cell Block 99,0,0,0,0,0,0,1,0,0,0,7
30,Foxtrot,0,0,0,0,0,1,0,0,0,0,6
98,Wonder,0,0,0,0,0,1,0,0,0,0,6
47,Kedi,0,0,0,0,0,1,0,0,0,0,6
78,The Distinguished Citizen,0,0,0,0,0,1,0,0,0,0,6
6,Alien: Covenant,0,0,2,0,0,0,0,0,0,0,6
1,A Dark Song,0,0,0,0,0,1,0,0,0,0,6
4,A Monster Calls,0,0,0,0,1,0,0,0,0,0,5
103,Kong: Skull Island,0,0,0,0,1,0,0,0,0,0,5
58,Mudbound,0,0,0,0,1,0,0,0,0,0,5
70,T2 Trainspotting,0,0,0,0,1,0,0,0,0,0,5
37,Hacksaw Ridge,0,0,0,0,1,0,0,0,0,0,5
65,Professor Marston and the Wonder Women,0,0,0,0,1,0,0,0,0,0,5
93,Thelma,0,0,0,1,0,0,0,0,0,0,4
102,Jumanji: Welcome to the Jungle,0,0,0,1,0,0,0,0,0,0,4
38,Hidden Figures,0,2,0,0,0,0,0,0,0,0,4
41,I Don't Feel at Home in This World Anymore,0,0,0,1,0,0,0,0,0,0,4
64,Princess Cyd,0,0,1,0,0,0,0,0,0,0,3
60,Okja,1,1,0,0,0,0,0,0,0,0,3
80,The Girl with All the Gifts,0,0,1,0,0,0,0,0,0,0,3
